,location,total_sqft,bath,price,bhk
1798,Doddakallasandra,1360.0,2.0,54.4,3.0
1799,Doddakallasandra,1425.0,2.0,56.99,3.0
1800,Doddakallasandra,1010.0,2.0,40.39,2.0
1801,Doddakallasandra,1072.0,2.0,42.87,2.0
1802,Doddakallasandra,1010.0,2.0,40.4,2.0
1803,Doddakallasandra,1010.0,2.0,41.0,2.0
1804,Doddakallasandra,1072.0,2.0,42.87,2.0
1805,Doddathoguru,970.0,2.0,33.0,2.0
1806,Doddathoguru,1050.0,2.0,32.0,2.0
1807,Doddathoguru,850.0,2.0,25.0,2.0
1808,Doddathoguru,1030.0,2.0,42.0,2.0
1809,Doddathoguru,1549.0,3.0,65.0,3.0
1810,Doddathoguru,1875.0,3.0,55.0,3.0
1811,Doddathoguru,550.0,1.0,17.0,1.0
1812,Doddathoguru,1015.0,2.0,33.5,2.0
1813,Doddathoguru,1104.0,2.0,39.0,2.0
1814,Doddathoguru,915.0,2.0,32.0,2.0
1815,Doddathoguru,750.0,1.0,25.5,1.0
1816,Doddathoguru,1595.0,3.0,62.0,3.0
1817,Doddathoguru,855.0,2.0,32.0,2.0
1818,Doddathoguru,1105.0,2.0,50.0,2.0
1819,Doddathoguru,925.0,2.0,30.0,2.0
1820,Doddathoguru,1300.0,2.0,42.0,3.0
1821,Doddathoguru,1208.0,3.0,45.0,3.0
1822,Doddathoguru,1100.0,2.0,50.0,2.0
1823,Doddathoguru,940.0,2.0,32.9,2.0
1824,Doddathoguru,1382.0,3.0,65.0,3.0
1825,Doddathoguru,1107.0,2.0,44.0,2.0
1826,Doddathoguru,907.0,2.0,40.0,2.0
1827,Doddathoguru,1783.0,3.0,85.0,3.0
1828,Doddathoguru,550.0,1.0,17.0,1.0
1829,Domlur,1540.0,3.0,90.0,3.0
1830,Domlur,1875.0,2.0,150.0,3.0
1831,Domlur,1429.0,3.0,86.0,3.0
1832,Domlur,640.0,1.0,55.0,1.0
1833,Domlur,1050.0,2.0,85.0,2.0
1834,Domlur,1800.0,3.0,150.0,3.0
1835,Domlur,1720.0,3.0,135.0,3.0
1836,Domlur,1950.0,3.0,165.0,3.0
1837,Domlur,2180.0,3.0,285.0,3.0
1838,Domlur,650.0,1.0,70.0,1.0
1839,Domlur,780.0,1.0,70.0,1.0
1840,Domlur,2180.0,3.0,285.0,3.0
1841,Domlur,1740.0,3.0,120.0,3.0
1842,Domlur,1695.0,3.0,125.0,3.0
1843,Domlur,1246.0,2.0,95.0,2.0
1844,Domlur,2100.0,3.0,145.0,3.0
1845,Domlur,1276.0,2.0,80.0,2.0
1846,Domlur,1850.0,3.0,180.0,3.0
1847,Domlur,2955.0,3.0,235.0,3.0
1848,Domlur,1650.0,3.0,180.0,3.0
1849,Dommasandra,805.0,2.0,22.14,2.0
1850,Dommasandra,1033.0,2.0,25.53,3.0
1851,Dommasandra,1267.0,3.0,56.0,3.0
1852,Dommasandra,1200.0,2.0,50.0,2.0
1853,Dommasandra,2700.0,3.0,68.0,4.0
1854,Dommasandra,1033.0,2.0,31.5,3.0
1855,Dommasandra,1153.0,2.0,43.5,2.0
1856,Dommasandra,1500.0,2.0,40.0,2.0
1857,Dommasandra,1090.0,2.0,43.5,2.0
1858,Dommasandra,850.0,2.0,25.4,2.0
1859,Dommasandra,674.0,1.0,19.9,2.0
1860,Dommasandra,999.0,2.0,32.9,2.0
1861,EPIP Zone,1499.0,5.0,102.0,3.0
1862,EPIP Zone,1285.0,2.0,82.0,2.0
1863,EPIP Zone,2330.0,3.0,162.0,3.0
1864,EPIP Zone,1330.0,2.0,92.5,2.0
1865,EPIP Zone,1330.0,2.0,86.98,2.0
1866,EPIP Zone,1330.0,2.0,93.36,2.0
1867,EPIP Zone,1500.0,3.0,102.0,3.0
1868,EPIP Zone,1280.0,2.0,69.0,2.0
1869,EPIP Zone,1125.0,2.0,65.0,2.0
1870,EPIP Zone,1734.0,3.0,125.0,3.0
1871,EPIP Zone,3360.0,5.0,225.0,4.0
1872,EPIP Zone,1343.0,2.0,86.0,2.0
1873,EPIP Zone,2350.0,4.0,163.0,3.0
1874,EPIP Zone,1860.0,3.0,130.0,3.0
1875,EPIP Zone,2210.0,3.0,165.0,3.0
1876,EPIP Zone,2710.0,3.0,177.0,3.0
1877,EPIP Zone,3360.0,5.0,221.0,4.0
1878,Electronic City,660.0,1.0,23.1,2.0
1879,Electronic City,1025.0,2.0,47.0,3.0
1880,Electronic City,1000.0,2.0,28.88,2.0
1881,Electronic City,1530.0,2.0,45.9,3.0
1882,Electronic City,1500.0,2.0,64.5,3.0
1883,Electronic City,1060.0,2.0,60.0,2.0
1884,Electronic City,1152.0,2.0,64.5,2.0
1885,Electronic City,1350.0,2.0,56.0,3.0
1886,Electronic City,770.0,1.0,36.0,2.0
1887,Electronic City,1070.0,2.0,52.0,2.0
1888,Electronic City,1025.0,2.0,46.0,2.0
1889,Electronic City,589.0,1.0,27.0,1.0
1890,Electronic City,1100.0,2.0,42.0,2.0
1891,Electronic City,910.0,2.0,40.0,2.0
1892,Electronic City,1108.0,2.0,63.0,2.0
1893,Electronic City,1128.0,2.0,65.0,2.0
1894,Electronic City,1800.0,3.0,95.0,3.0
1895,Electronic City,630.0,1.0,34.65,1.0
1896,Electronic City,1128.0,2.0,63.0,2.0
1897,Electronic City,1599.0,3.0,99.0,3.0
1898,Electronic City,1125.0,2.0,32.49,2.0
1899,Electronic City,1094.0,2.0,42.0,2.0
1900,Electronic City,1070.0,2.0,55.0,2.0
1901,Electronic City,940.0,2.0,41.0,2.0
1902,Electronic City,1320.0,2.0,38.13,3.0
1903,Electronic City,1128.0,2.0,68.75,2.0
1904,Electronic City,1342.0,2.0,73.3,2.0
1905,Electronic City,1360.0,2.0,71.0,3.0
1906,Electronic City,880.0,2.0,29.0,2.0
1907,Electronic City,1265.0,2.0,56.93,2.0
1908,Electronic City,1691.0,2.0,102.0,3.0
1909,Electronic City,1128.0,2.0,65.49,2.0
1910,Electronic City,1620.0,3.0,62.0,3.0
1911,Electronic City,710.0,2.0,16.0,2.0
1912,Electronic City,1070.0,2.0,56.1,2.0
1913,Electronic City,2000.0,4.0,120.0,4.0
1914,Electronic City,890.0,2.0,45.0,2.0
1915,Electronic City,1128.0,2.0,65.65,2.0
1916,Electronic City,865.0,2.0,42.0,2.0
1917,Electronic City,1130.0,2.0,32.64,2.0
1918,Electronic City,910.0,2.0,42.0,2.0
1919,Electronic City,975.0,2.0,37.5,2.0
1920,Electronic City,1360.0,2.0,75.0,3.0
1921,Electronic City,770.0,1.0,40.0,2.0
1922,Electronic City,1128.0,2.0,64.0,2.0
1923,Electronic City,1070.0,2.0,54.0,2.0
1924,Electronic City,1025.0,2.0,29.6,2.0
1925,Electronic City,1571.0,3.0,89.0,3.0
1926,Electronic City,1111.0,3.0,50.0,3.0
1927,Electronic City,870.0,2.0,39.5,2.0
1928,Electronic City,921.0,2.0,34.0,2.0
1929,Electronic City,1374.0,2.0,72.0,3.0
1930,Electronic City,1100.0,2.0,45.0,2.0
1931,Electronic City,1128.0,2.0,65.35,2.0
1932,Electronic City,1128.0,2.0,65.0,2.0
1933,Electronic City,755.0,1.0,34.0,2.0
1934,Electronic City,1220.0,2.0,35.24,3.0
1935,Electronic City,4000.0,5.0,150.0,4.0
1936,Electronic City,1100.0,2.0,40.0,2.0
1937,Electronic City,1563.0,3.0,91.84,3.0
1938,Electronic City,1652.0,3.0,70.0,3.0
1939,Electronic City,1000.0,2.0,22.0,2.0
1940,Electronic City,1025.0,2.0,54.5,2.0
1941,Electronic City,1070.0,2.0,46.0,2.0
1942,Electronic City,1350.0,3.0,58.0,3.0
1943,Electronic City,1000.0,2.0,25.0,2.0
1944,Electronic City,1020.0,2.0,29.46,2.0
1945,Electronic City,1700.0,3.0,75.0,3.0
1946,Electronic City,1400.0,2.0,48.0,3.0
1947,Electronic City,1128.0,2.0,68.0,2.0
1948,Electronic City,700.0,1.0,35.0,1.0
1949,Electronic City,1360.0,2.0,70.5,3.0
1950,Electronic City,1150.0,2.0,38.0,2.0
1951,Electronic City,1571.0,3.0,105.0,3.0
1952,Electronic City,1090.0,2.0,31.49,2.0
1953,Electronic City,1089.0,2.0,45.0,2.0
1954,Electronic City,1110.0,2.0,40.0,2.0
1955,Electronic City,1600.0,3.0,104.0,3.0
1956,Electronic City,1130.0,2.0,32.63,2.0
1957,Electronic City,1500.0,2.0,100.0,3.0
1958,Electronic City,1440.0,2.0,55.0,3.0
1959,Electronic City,1156.0,2.0,44.0,3.0
1960,Electronic City,1400.0,2.0,40.44,3.0
1961,Electronic City,1152.0,2.0,65.0,2.0
1962,Electronic City,1070.0,2.0,60.0,2.0
1963,Electronic City,1128.0,2.0,65.5,2.0
1964,Electronic City,1200.0,2.0,59.0,2.0
1965,Electronic City,1152.0,2.0,65.75,2.0
1966,Electronic City,1225.0,3.0,45.03,3.0
1967,Electronic City,1070.0,2.0,55.0,2.0
1968,Electronic City,1060.0,2.0,58.0,2.0
1969,Electronic City,1025.0,2.0,54.1,2.0
1970,Electronic City,1105.0,2.0,35.0,3.0
1971,Electronic City,660.0,1.0,18.0,2.0
1972,Electronic City,660.0,1.0,15.0,2.0
1973,Electronic City,1000.0,2.0,41.0,2.0
1974,Electronic City,1500.0,2.0,78.0,3.0
1975,Electronic City,1213.0,2.0,59.32,2.0
1976,Electronic City,1575.0,3.0,90.0,3.0
1977,Electronic City,435.0,1.0,19.5,1.0
1978,Electronic City,1449.0,3.0,100.0,3.0
1979,Electronic City,1310.0,2.0,37.83,3.0
1980,Electronic City,1125.0,2.0,58.0,2.0
1981,Electronic City,1090.0,2.0,35.03,2.0
1982,Electronic City,1575.0,3.0,101.0,3.0
1983,Electronic City,660.0,1.0,16.0,2.0
1984,Electronic City,550.0,1.0,12.0,1.0
1985,Electronic City,919.0,2.0,40.0,2.0
1986,Electronic City,1500.0,2.0,78.25,3.0
1987,Electronic City,1363.0,2.0,79.0,2.0
1988,Electronic City,1156.0,2.0,42.0,2.0
1989,Electronic City,1020.0,2.0,29.46,2.0
1990,Electronic City,1108.0,2.0,67.15,2.0
1991,Electronic City,1160.0,2.0,33.5,2.0
1992,Electronic City,1128.0,2.0,65.7,2.0
1993,Electronic City,1170.0,2.0,33.0,2.0
1994,Electronic City,1060.0,2.0,51.0,2.0
1995,Electronic City,1410.0,2.0,38.0,3.0
1996,Electronic City,1650.0,3.0,100.0,3.0
1997,Electronic City,1020.0,2.0,29.45,2.0
1998,Electronic City,1025.0,2.0,49.0,2.0
1999,Electronic City,1000.0,2.0,29.7,2.0
2000,Electronic City,1449.0,3.0,90.0,3.0
2001,Electronic City,1065.0,2.0,30.75,2.0
2002,Electronic City,1070.0,2.0,58.0,2.0
2003,Electronic City,1210.0,2.0,54.0,2.0
2004,Electronic City,1500.0,2.0,75.0,3.0
2005,Electronic City,1033.0,2.0,28.41,3.0
2006,Electronic City,1070.0,2.0,52.0,2.0
2007,Electronic City,2435.0,4.0,119.0,4.0
2008,Electronic City,660.0,1.0,15.5,2.0
2009,Electronic City,1125.0,2.0,32.5,2.0
2010,Electronic City,1165.0,2.0,33.64,2.0
2011,Electronic City,919.0,2.0,34.0,2.0
2012,Electronic City,1073.0,2.0,60.0,2.0
2013,Electronic City,1500.0,2.0,78.0,3.0
2014,Electronic City,1070.0,2.0,47.0,2.0
2015,Electronic City,1296.0,2.0,65.0,2.0
2016,Electronic City,1140.0,2.0,70.93,2.0
2017,Electronic City,1200.0,2.0,34.65,2.0
2018,Electronic City,1096.0,2.0,40.55,2.0
2019,Electronic City,1017.0,2.0,27.0,2.0
2020,Electronic City,1130.0,2.0,32.63,2.0
2021,Electronic City,1110.0,2.0,39.95,2.0
2022,Electronic City,2093.0,4.0,104.0,4.0
2023,Electronic City,1025.0,2.0,53.9,2.0
2024,Electronic City,940.0,2.0,54.0,2.0
2025,Electronic City,435.0,1.0,21.0,1.0
2026,Electronic City,1500.0,2.0,77.5,3.0
2027,Electronic City,1631.0,3.0,80.0,3.0
2028,Electronic City,1355.0,2.0,67.0,2.0
2029,Electronic City,1200.0,2.0,34.0,2.0
2030,Electronic City,1175.0,2.0,47.0,2.0
2031,Electronic City,435.0,1.0,22.0,1.0
2032,Electronic City,1500.0,2.0,63.0,3.0
2033,Electronic City,1039.0,2.0,50.0,2.0
2034,Electronic City,770.0,1.0,39.9,2.0
2035,Electronic City,919.0,2.0,35.0,2.0
2036,Electronic City,1128.0,2.0,64.0,2.0
2037,Electronic City,605.0,1.0,13.31,1.0
2038,Electronic City,1159.0,2.0,38.0,3.0
2039,Electronic City,530.0,1.0,13.5,1.0
2040,Electronic City,1070.0,2.0,53.0,2.0
2041,Electronic City,1025.0,1.0,26.63,2.0
2042,Electronic City,2400.0,2.0,78.0,3.0
2043,Electronic City,1571.0,3.0,83.0,3.0
2044,Electronic City,1470.0,2.0,44.1,3.0
2045,Electronic City,1350.0,3.0,66.0,3.0
2046,Electronic City,1652.0,3.0,110.0,3.0
2047,Electronic City,1320.0,2.0,38.12,3.0
2048,Electronic City,1090.0,2.0,31.48,2.0
2049,Electronic City,1050.0,2.0,39.0,3.0
2050,Electronic City,1128.0,2.0,65.58,2.0
2051,Electronic City,635.0,1.0,28.0,1.0
2052,Electronic City,1128.0,2.0,65.4,2.0
2053,Electronic City,1096.0,2.0,39.0,2.0
2054,Electronic City,1150.0,2.0,38.0,2.0
2055,Electronic City,1355.0,2.0,72.9,2.0
2056,Electronic City,1200.0,2.0,30.0,2.0
2057,Electronic City,1150.0,2.0,35.0,2.0
2058,Electronic City,1165.0,2.0,33.64,2.0
2059,Electronic City,770.0,1.0,35.0,2.0
2060,Electronic City,1020.0,2.0,29.45,2.0
2061,Electronic City,865.0,2.0,40.0,2.0
2062,Electronic City,800.0,2.0,32.0,2.0
2063,Electronic City,970.0,2.0,34.0,2.0
2064,Electronic City,1108.0,2.0,63.0,2.0
2065,Electronic City,630.0,1.0,40.5,1.0
2066,Electronic City,1100.0,2.0,41.0,2.0
2067,Electronic City,975.0,2.0,32.0,2.0
2068,Electronic City,605.0,1.0,22.0,1.0
2069,Electronic City,1142.0,2.0,35.0,2.0
2070,Electronic City,1070.0,2.0,48.0,2.0
2071,Electronic City,1160.0,2.0,42.0,3.0
2072,Electronic City,1360.0,2.0,70.0,3.0
2073,Electronic City,635.0,1.0,28.0,1.0
2074,Electronic City,1128.0,2.0,65.45,2.0
2075,Electronic City,890.0,2.0,40.0,2.0
2076,Electronic City,1065.0,2.0,30.75,2.0
2077,Electronic City,1127.0,2.0,32.0,2.0
2078,Electronic City,825.0,2.0,35.0,2.0
2079,Electronic City,1200.0,2.0,40.5,2.0
2080,Electronic City,1360.0,2.0,58.0,3.0
2081,Electronic City,1400.0,2.0,40.45,3.0
2082,Electronic City,1065.0,2.0,30.76,2.0
2083,Electronic City,630.0,1.0,33.7,1.0
2084,Electronic City,1025.0,2.0,29.61,2.0
2085,Electronic City,1160.0,2.0,42.0,3.0
2086,Electronic City,660.0,1.0,16.5,2.0
2087,Electronic City,1400.0,3.0,90.0,3.0
2088,Electronic City,1287.0,3.0,55.0,3.0
2089,Electronic City,1258.0,2.0,85.5,2.0
2090,Electronic City,1386.0,2.0,85.0,2.0
2091,Electronic City,550.0,1.0,27.0,1.0
2092,Electronic City,1025.0,2.0,50.0,2.0
2093,Electronic City,1140.0,2.0,33.84,2.0
2094,Electronic City,1070.0,2.0,55.0,2.0
2095,Electronic City,1342.0,2.0,72.0,2.0
2096,Electronic City,1275.0,3.0,70.0,3.0
2097,Electronic City,770.0,1.0,38.0,2.0
2098,Electronic City,1200.0,2.0,34.65,2.0
2099,Electronic City,1005.0,2.0,39.77,2.0
2100,Electronic City,1110.0,2.0,39.9,2.0
2101,Electronic City,660.0,1.0,23.0,2.0
2102,Electronic City,1644.0,3.0,92.59,3.0
2103,Electronic City,1250.0,2.0,62.0,2.0
2104,Electronic City,1020.0,2.0,30.27,2.0
2105,Electronic City,1025.0,2.0,29.6,2.0
2106,Electronic City,418.0,1.0,12.0,1.0
2107,Electronic City,1128.0,2.0,64.8,2.0
2108,Electronic City,1220.0,2.0,35.25,3.0
2109,Electronic City,1220.0,2.0,35.23,3.0
2110,Electronic City,1060.0,2.0,55.0,2.0
2111,Electronic City,710.0,1.0,40.42,1.0
2112,Electronic City,1000.0,2.0,29.95,2.0
2113,Electronic City,870.0,2.0,24.0,2.0
2114,Electronic City,1275.0,3.0,63.43,3.0
2115,Electronic City,1518.0,3.0,75.0,3.0
2116,Electronic City,1090.0,2.0,31.48,1.0
2117,Electronic City,1140.0,2.0,32.92,2.0
2118,Electronic City,1125.0,2.0,32.49,2.0
2119,Electronic City,1060.0,2.0,55.0,2.0
2120,Electronic City,1200.0,2.0,34.66,2.0
2121,Electronic City,1353.0,2.0,75.0,2.0
2122,Electronic City,660.0,1.0,18.0,2.0
2123,Electronic City,1128.0,2.0,67.0,2.0
2124,Electronic City,1070.0,2.0,57.0,2.0
2125,Electronic City,1700.0,3.0,90.0,3.0
2126,Electronic City,1521.0,2.0,57.5,3.0
2127,Electronic City,750.0,1.0,35.0,1.0
2128,Electronic City,1210.0,2.0,55.0,2.0
2129,Electronic City,1070.0,2.0,60.0,2.0
2130,Electronic City,1400.0,2.0,40.44,3.0
2131,Electronic City,1190.0,2.0,42.0,2.0
2132,Electronic City,880.0,2.0,19.0,2.0
2133,Electronic City,1150.0,2.0,38.08,2.0
2134,Electronic City,1615.0,3.0,97.0,3.0
2135,Electronic City,1165.0,2.0,33.65,2.0
2136,Electronic City,1221.0,2.0,68.0,2.0
2137,Electronic City,970.0,2.0,35.0,2.0
2138,Electronic City,1500.0,3.0,73.0,3.0
2139,Electronic City,995.0,2.0,48.0,2.0
2140,Electronic City,1342.0,2.0,90.0,2.0
2141,Electronic City,1320.0,2.0,38.12,3.0
2142,Electronic City,1128.0,2.0,63.5,2.0
2143,Electronic City,589.0,1.0,29.0,1.0
2144,Electronic City,1125.0,2.0,28.13,2.0
2145,Electronic City,825.0,2.0,30.0,2.0
2146,Electronic City,1575.0,3.0,94.5,3.0
2147,Electronic City,1070.0,2.0,48.0,2.0
2148,Electronic City,1025.0,2.0,54.0,2.0
2149,Electronic City,1500.0,2.0,70.0,3.0
2150,Electronic City,1500.0,2.0,64.5,3.0
2151,Electronic City,1140.0,2.0,32.93,2.0
2152,Electronic City,2093.0,4.0,134.0,4.0
2153,Electronic City,750.0,2.0,19.5,2.0
2154,Electronic City,1355.0,2.0,73.0,2.0
2155,Electronic City,1360.0,2.0,64.99,3.0
2156,Electronic City,1060.0,2.0,52.0,2.0
2157,Electronic City Phase II,1056.0,2.0,39.07,2.0
2158,Electronic City Phase II,1020.0,2.0,30.6,2.0
2159,Electronic City Phase II,1069.0,2.0,45.0,2.0
2160,Electronic City Phase II,630.0,1.0,28.35,1.0
2161,Electronic City Phase II,1220.0,2.0,35.23,3.0
2162,Electronic City Phase II,1000.0,2.0,25.0,2.0
2163,Electronic City Phase II,1090.0,2.0,28.34,2.0
2164,Electronic City Phase II,2225.0,4.0,98.88,4.0
2165,Electronic City Phase II,1400.0,2.0,40.43,3.0
2166,Electronic City Phase II,775.0,2.0,38.0,2.0
2167,Electronic City Phase II,1266.0,2.0,59.0,2.0
2168,Electronic City Phase II,1000.0,2.0,28.88,2.0
2169,Electronic City Phase II,1320.0,2.0,38.13,3.0
2170,Electronic City Phase II,1220.0,3.0,35.23,3.0
2171,Electronic City Phase II,972.0,2.0,44.0,2.0
2172,Electronic City Phase II,1400.0,2.0,40.43,3.0
2173,Electronic City Phase II,1031.0,2.0,55.0,2.0
2174,Electronic City Phase II,1003.0,2.0,40.6,2.0
2175,Electronic City Phase II,1031.0,2.0,56.35,2.0
2176,Electronic City Phase II,1320.0,2.0,38.12,3.0
2177,Electronic City Phase II,1395.0,2.0,62.78,3.0
2178,Electronic City Phase II,1160.0,2.0,33.5,2.0
2179,Electronic City Phase II,1065.0,2.0,30.75,2.0
2180,Electronic City Phase II,1219.0,2.0,61.25,2.0
2181,Electronic City Phase II,1400.0,2.0,41.58,3.0
2182,Electronic City Phase II,1000.0,2.0,28.88,2.0
2183,Electronic City Phase II,1790.0,3.0,100.0,3.0
2184,Electronic City Phase II,769.0,2.0,40.0,2.0
2185,Electronic City Phase II,1400.0,2.0,40.43,3.0
2186,Electronic City Phase II,900.0,2.0,32.5,2.0
2187,Electronic City Phase II,1329.0,2.0,41.0,3.0
2188,Electronic City Phase II,1220.0,3.0,35.23,3.0
2189,Electronic City Phase II,993.0,2.0,50.0,3.0
2190,Electronic City Phase II,1418.0,3.0,52.47,3.0
2191,Electronic City Phase II,1070.0,2.0,45.0,2.0
2192,Electronic City Phase II,1310.0,2.0,32.75,3.0
2193,Electronic City Phase II,1310.0,2.0,37.83,3.0
2194,Electronic City Phase II,1140.0,2.0,33.06,2.0
2195,Electronic City Phase II,1031.0,2.0,55.0,2.0
2196,Electronic City Phase II,1253.0,2.0,65.8,2.0
2197,Electronic City Phase II,1400.0,2.0,40.44,3.0
2198,Electronic City Phase II,1160.0,2.0,33.5,2.0
2199,Electronic City Phase II,975.0,2.0,45.0,3.0
2200,Electronic City Phase II,6000.0,4.0,260.0,4.0
2201,Electronic City Phase II,1116.0,2.0,37.0,2.0
2202,Electronic City Phase II,1125.0,2.0,29.25,2.0
2203,Electronic City Phase II,1000.0,2.0,28.88,2.0
2204,Electronic City Phase II,1000.0,2.0,28.88,2.0
2205,Electronic City Phase II,1000.0,2.0,28.88,2.0
2206,Electronic City Phase II,1165.0,2.0,30.29,2.0
2207,Electronic City Phase II,1031.0,2.0,53.0,2.0
2208,Electronic City Phase II,1611.0,2.0,48.33,3.0
2209,Electronic City Phase II,1065.0,2.0,30.88,2.0
2210,Electronic City Phase II,1220.0,3.0,36.6,3.0
2211,Electronic City Phase II,1549.0,3.0,80.0,3.0
2212,Electronic City Phase II,1065.0,2.0,56.13,2.0
2213,Electronic City Phase II,1320.0,2.0,38.13,3.0
2214,Electronic City Phase II,920.0,2.0,26.0,2.0
2215,Electronic City Phase II,1140.0,2.0,33.84,2.0
2216,Electronic City Phase II,1219.0,2.0,61.26,2.0
2217,Electronic City Phase II,1252.0,2.0,65.0,3.0
2218,Electronic City Phase II,1125.0,2.0,32.49,2.0
2219,Electronic City Phase II,1310.0,2.0,37.83,3.0
2220,Electronic City Phase II,1286.0,2.0,69.0,2.0
2221,Electronic City Phase II,1220.0,2.0,36.21,3.0
2222,Electronic City Phase II,1140.0,2.0,32.92,2.0
2223,Electronic City Phase II,1116.0,2.0,40.0,2.0
2224,Electronic City Phase II,1150.0,3.0,46.0,3.0
2225,Electronic City Phase II,1192.0,2.0,47.0,3.0
2226,Electronic City Phase II,1502.0,3.0,50.0,3.0
2227,Electronic City Phase II,1020.0,2.0,32.0,2.0
2228,Electronic City Phase II,1900.0,3.0,97.0,4.0
2229,Electronic City Phase II,1020.0,2.0,27.43,2.0
2230,Electronic City Phase II,1025.0,2.0,26.65,2.0
2231,Electronic City Phase II,1020.0,2.0,29.45,2.0
2232,Electronic City Phase II,1000.0,2.0,28.88,2.0
2233,Electronic City Phase II,1310.0,2.0,37.84,3.0
2234,Electronic City Phase II,1140.0,2.0,28.5,2.0
2235,Electronic City Phase II,1125.0,2.0,32.49,2.0
2236,Electronic City Phase II,1200.0,2.0,34.65,2.0
2237,Electronic City Phase II,1160.0,2.0,52.2,2.0
2238,Electronic City Phase II,1244.0,2.0,55.0,2.0
2239,Electronic City Phase II,1160.0,2.0,33.51,2.0
2240,Electronic City Phase II,1220.0,3.0,35.25,3.0
2241,Electronic City Phase II,1625.0,2.0,48.75,3.0
2242,Electronic City Phase II,972.0,2.0,40.0,2.0
2243,Electronic City Phase II,1160.0,2.0,33.51,2.0
2244,Electronic City Phase II,1400.0,2.0,40.45,3.0
2245,Electronic City Phase II,1090.0,2.0,31.48,2.0
2246,Electronic City Phase II,1140.0,2.0,32.92,2.0
2247,Electronic City Phase II,650.0,1.0,35.0,1.0
2248,Electronic City Phase II,1155.0,2.0,57.0,2.0
2249,Electronic City Phase II,1800.0,3.0,92.0,3.0
2250,Electronic City Phase II,1300.0,2.0,28.0,2.0
2251,Electronic City Phase II,1160.0,2.0,33.5,2.0
2252,Electronic City Phase II,1025.0,2.0,29.6,2.0
2253,Electronic City Phase II,829.0,2.0,22.8,2.0
2254,Electronic City Phase II,1252.0,2.0,67.0,2.0
2255,Electronic City Phase II,1320.0,2.0,38.12,3.0
2256,Electronic City Phase II,1125.0,2.0,32.63,2.0
2257,Electronic City Phase II,1140.0,2.0,34.0,2.0
2258,Electronic City Phase II,1310.0,2.0,37.84,3.0
2259,Electronic City Phase II,1400.0,2.0,40.43,3.0
2260,Electronic City Phase II,1252.0,2.0,65.0,3.0
2261,Electronic City Phase II,1135.0,2.0,46.0,2.0
2262,Electronic City Phase II,1305.0,3.0,65.0,3.0
2263,Electronic City Phase II,1165.0,2.0,33.64,2.0
2264,Electronic City Phase II,1400.0,2.0,40.44,3.0
2265,Electronic City Phase II,1336.0,2.0,50.35,3.0
2266,Electronic City Phase II,575.0,1.0,16.75,1.0
2267,Electronic City Phase II,925.0,2.0,49.82,3.0
2268,Electronic City Phase II,1065.0,2.0,30.76,2.0
2269,Electronic City Phase II,1065.0,2.0,30.75,2.0
2270,Electronic City Phase II,1140.0,2.0,33.06,2.0
2271,Electronic City Phase II,911.0,2.0,26.5,2.0
2272,Electronic City Phase II,1200.0,2.0,34.65,2.0
2273,Electronic City Phase II,1031.0,2.0,54.48,2.0
2274,Electronic City Phase II,1310.0,2.0,37.83,3.0
2275,Electronic City Phase II,1651.0,3.0,49.53,3.0
2276,Electronics City Phase 1,1070.0,2.0,45.5,2.0
2277,Electronics City Phase 1,1475.0,3.0,78.29,3.0
2278,Electronics City Phase 1,1490.0,3.0,78.8,3.0
2279,Electronics City Phase 1,1113.27,2.0,53.0,2.0
2280,Electronics City Phase 1,1490.0,3.0,84.0,3.0
2281,Electronics City Phase 1,1175.0,2.0,51.47,2.0
2282,Electronics City Phase 1,1160.0,2.0,52.0,2.0
2283,Electronics City Phase 1,920.0,2.0,33.0,2.0
2284,Electronics City Phase 1,1750.0,3.0,84.0,3.0
2285,Electronics City Phase 1,1350.0,3.0,55.0,3.0
2286,Electronics City Phase 1,940.0,2.0,40.0,2.0
2287,Electronics City Phase 1,1015.0,2.0,56.0,2.0
2288,Electronics City Phase 1,1595.0,3.0,75.0,3.0
2289,Electronics City Phase 1,1515.0,2.0,80.91,3.0
2290,Electronics City Phase 1,995.0,2.0,46.0,2.0
2291,Electronics City Phase 1,1555.0,2.0,82.0,3.0
2292,Electronics City Phase 1,1340.0,2.0,75.0,2.0
2293,Electronics City Phase 1,650.0,1.0,23.0,1.0
2294,Electronics City Phase 1,1124.0,2.0,55.0,3.0
2295,Electronics City Phase 1,1175.0,2.0,57.0,2.0
2296,Electronics City Phase 1,755.0,1.0,42.41,1.0
2297,Electronics City Phase 1,580.0,1.0,27.0,1.0
2298,Electronics City Phase 1,940.0,2.0,49.0,2.0
2299,Electronics City Phase 1,1335.0,2.0,67.0,2.0
2300,Electronics City Phase 1,1113.12,2.0,55.0,2.0
2301,Electronics City Phase 1,995.0,2.0,42.0,2.0
2302,Electronics City Phase 1,1350.0,3.0,71.0,3.0
2303,Electronics City Phase 1,1445.0,2.0,56.0,3.0
2304,Electronics City Phase 1,995.0,2.0,49.8,2.0
2305,Electronics City Phase 1,635.0,1.0,26.0,1.0
2306,Electronics City Phase 1,1190.0,2.0,68.0,2.0
2307,Electronics City Phase 1,1085.0,2.0,46.0,2.0
2308,Electronics City Phase 1,1450.0,3.0,72.54,3.0
2309,Electronics City Phase 1,360.0,1.0,16.9,1.0
2310,Electronics City Phase 1,638.0,1.0,32.0,1.0
